Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Year
Aus,Bakergonj ,470150,181155,1969
Aus,Bogra ,286080,95240,1969
Aus,Chittagong ,264775,121470,1969
Aus,Chittagong H.T. ,128710,60160,1969
Aus,Comilla ,566325,224045,1969
Aus,Dhaka ,499125,185035,1969
Aus,Dinajpur ,484460,187185,1969
Aus,Faridpur ,577015,164925,1969
Aus,Jessore ,636155,214345,1969
Aus,Khulna ,119700,49115,1969
Aus,Kishoregonj ,218880,54375,1969
Aus,Kushtia ,359405,97455,1969
Aus,Mymensingh ,1089970,325685,1969
Aus,Noakhali ,478290,154690,1969
Aus,Pabna ,414815,145150,1969
Aus,Patuakhali ,126740,39200,1969
Aus,Rajshahi ,474080,173860,1969
Aus,Rangpur ,906800,324985,1969
Aus,Sylhet ,360260,164960,1969
Aus,Tangail ,0,0,1969
Aus,Bakergonj ,508750,185765,1970
Aus,Bogra ,228600,81120,1970
Aus,Chittagong ,217790,100405,1970
Aus,Chittagong H.T. ,121610,44360,1970
Aus,Comilla ,564220,213480,1970
Aus,Dhaka ,400750,145300,1970
Aus,Dinajpur ,489920,189150,1970
Aus,Faridpur ,479420,142475,1970
Aus,Jessore ,637010,226515,1970
Aus,Khulna ,83640,33645,1970
Aus,Kishoregonj ,231180,78300,1970
Aus,Kushtia ,336900,116210,1970
Aus,Mymensingh ,709830,237810,1970
Aus,Noakhali ,489270,177935,1970
Aus,Pabna ,324480,100485,1970
Aus,Patuakhali ,127670,34190,1970
Aus,Rajshahi ,463400,170740,1970
Aus,Rangpur ,916840,367785,1970
Aus,Sylhet ,355030,157025,1970
Aus,Tangail ,198640,60490,1970
Aus,Bakergonj ,461215,128750,1971
Aus,Bogra ,210665,58020,1971
Aus,Chittagong ,197320,95810,1971
Aus,Chittagong H.T. ,117335,44420,1971
Aus,Comilla ,502410,169950,1971
Aus,Dhaka ,406315,150285,1971
Aus,Dinajpur ,303370,103045,1971
Aus,Faridpur ,435560,117600,1971
Aus,Jessore ,626820,203210,1971
Aus,Khulna ,93475,40365,1971
Aus,Kishoregonj ,240585,63310,1971
Aus,Kushtia ,324890,73505,1971
Aus,Mymensingh ,720075,222270,1971
Aus,Noakhali ,463375,143625,1971
Aus,Pabna ,324625,88315,1971
Aus,Patuakhali ,101145,29925,1971
Aus,Rajshahi ,442885,132530,1971
Aus,Rangpur ,916865,278480,1971
Aus,Sylhet ,329135,132080,1971
Aus,Tangail ,199870,67905,1971
Aus,Bakergonj ,475530,166645,1972
Aus,Bogra ,257240,82590,1972
Aus,Chittagong ,246185,100020,1972
Aus,Chittagong H.T. ,101890,30915,1972
Aus,Comilla ,493115,157780,1972
Aus,Dhaka ,360745,104565,1972
Aus,Dinajpur ,274650,82835,1972
Aus,Faridpur ,539500,153000,1972
Aus,Jessore ,561830,176050,1972
Aus,Khulna ,72400,20215,1972
Aus,Kishoregonj ,220290,67895,1972
Aus,Kushtia ,284165,99300,1972
Aus,Mymensingh ,729060,198725,1972
Aus,Noakhali ,436350,158530,1972
Aus,Pabna ,293915,89755,1972
Aus,Patuakhali ,98450,31860,1972
Aus,Rajshahi ,437000,142845,1972
Aus,Rangpur ,827775,247375,1972
Aus,Sylhet ,248635,82385,1972
Aus,Tangail ,282070,79785,1972
Aus,Bakergonj ,497085,173840,1973
Aus,Bogra ,248990,80310,1973
Aus,Chittagong ,289650,162355,1973
Aus,Chittagong H.T. ,99170,37775,1973
Aus,Comilla ,499815,246235,1973
Aus,Dhaka ,385775,138340,1973
Aus,Dinajpur ,422110,162525,1973
Aus,Faridpur ,489225,138260,1973
Aus,Jessore ,607925,212720,1973
Aus,Khulna ,102755,39345,1973
Aus,Kishoregonj ,273055,99485,1973
Aus,Kushtia ,363280,123980,1973
Aus,Mymensingh ,759010,276755,1973
Aus,Noakhali ,417350,149690,1973
Aus,Pabna ,239815,67255,1973
Aus,Patuakhali ,103710,39095,1973
Aus,Rajshahi ,451420,150530,1973
Aus,Rangpur ,882970,294095,1973
Aus,Sylhet ,342630,144580,1973
Aus,Tangail ,205305,64865,1973
Aus,Bakergonj ,324625,88315,1974
Aus,Bogra ,303370,103045,1974
